Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
General Knowledge,"The ""Magna Carta"" is related to:",History of Nepal,Human Rights,English Civil Law,French Revolution,Option B,
General Knowledge,Which is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,Option B,
General Knowledge,The headquarters of SAARC is located in:,New Delhi,Colombo,Kathmandu,Islamabad,Option C,
General Knowledge,"Who is known as the ""Light of Asia""?",Bhanubhakta Acharya,Gautam Buddha,Prithvi Narayan Shah,Mahatma Gandhi,Option B,
General Knowledge,World Environment Day is celebrated on:,June 5,July 5,August 5,September 5,Option A,
General Knowledge,Which instrument is used to measure atmospheric pressure?,Thermometer,Barometer,Anemometer,Hygrometer,Option B,
General Knowledge,The currency of Japan is:,Dollar,Euro,Yen,Yuan,Option C,
General Knowledge,Which vitamin is produced in the human body by exposure to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Option D,
General Knowledge,"""Sagarmatha"" is the Nepali name for:",Mt. K2,Mt. Everest,Mt. Kanchanjunga,Mt. Makalu,Option B,
General Knowledge,Total number of districts in Nepal is:,75,72,77,74,Option C,
Surveying,The curvature of the earth is taken into consideration if the area of survey is greater than:,150 km²,200 km²,250 km²,260 km²,Option D,
Surveying,The principle of surveying is to work from:,Part to whole,Whole to part,Lower to higher,Higher to lower,Option B,
Surveying,Ranging is defined as:,Measuring distance,Establishing intermediate points,Taking offsets,Leveling instrument,Option B,
Surveying,A scale where three consecutive dimensions can be measured is known as:,Plain scale,Diagonal scale,Chord scale,Vernier scale,Option B,
Surveying,The internal angle of a regular pentagon is:,72°,108°,120°,140°,Option B,
Surveying,Which of the following is an obstacle to chaining but not ranging?,River,Hill,Building,Forest,Option A,
Surveying,The vertical distance between any two consecutive contours is called:,Horizontal equivalent,Contour interval,Vertical gradient,Contour gradient,Option B,
Surveying,"In a theodolite, the line of collimation is:",Parallel to vertical axis,Perpendicular to trunnion axis,Parallel to bubble tube,Parallel to horizontal axis,Option B,
Surveying,The Bench Mark (BM) established with very high precision is known as:,GTS Bench Mark,Permanent Bench Mark,Arbitrary Bench Mark,Temporary Bench Mark,Option A,
Surveying,Determining the difference in elevation between two points on the earth surface is called:,Traversing,Leveling,Contouring,Tacheometry,Option B,
Construction Materials,The initial setting time of ordinary Portland cement (OPC) should not be less than:,15 minutes,30 minutes,60 minutes,600 minutes,Option B,
Construction Materials,A first-class brick should not absorb water more than __ of its dry weight in 24 hours.,10%,15%,20%,25%,Option C,
Construction Materials,The main ingredient of glass is:,Soda,Lime,Silica,Potash,Option C,
Construction Materials,Galvanizing means covering iron with a thin coat of:,Tin,Zinc,Glaze,Coal tar,Option B,
Construction Materials,Seasoning of timber is done to:,Increase weight,Remove moisture,Smooth surface,Paint better,Option B,
Construction Materials,The specific gravity of cement is generally:,2.65,3.15,2.5,7.85,Option B,
Construction Materials,Which rock is used for the manufacture of cement?,Granite,Marble,Limestone,Slate,Option C,
Construction Materials,Bulking of sand is caused due to:,Clay content,Air voids,Surface moisture,Viscosity,Option C,
Construction Materials,The standard size of a modular brick is:,19 x 9 x 9 cm,20 x 10 x 10 cm,23 x 11 x 5.5 cm,24 x 12 x 6 cm,Option A,
Construction Materials,Paints with white lead base are suitable for:,Woodwork,Ironwork,Both,None,Option A,
Building Construction,The bottom-most part of a building that transfers the load to the soil is:,Plinth,Superstructure,Foundation,DPC,Option C,
Building Construction,D.P.C. stands for:,Damp Proof Course,Damp Proof Concrete,Direct Plastic Cover,Design Proof Code,Option A,
Building Construction,The vertical member of a door frame is called:,Style,Reveal,Jamb/Post,Head,Option C,
Building Construction,The triangular upper part of a wall formed at the end of a pitched roof is:,Hip,Gable,Eaves,Ridge,Option B,
Building Construction,A stair turning through one right angle (90°) is known as:,Dog-legged stair,Quarter turn stair,Open newel stair,Spiral stair,Option B,
Building Construction,Bond in which headers and stretchers are laid in alternate courses is:,English Bond,Flemish Bond,Stretcher Bond,Header Bond,Option A,
Building Construction,The minimum thickness of a wall in a stone masonry building should be:,20 cm,30 cm,35 cm,45 cm,Option D,
Building Construction,The horizontal projection of a tread in a stair is called:,Riser,Going,Nosing,Flight,Option B,
Building Construction,Pointing is done to protect:,Plastering,Mortar joints,Foundation,Flooring,Option B,
Building Construction,"For a good acoustic building, the reverberation time should be:",Zero,Very High,Optimum,Infinite,Option C,
Hydraulics,The mass per unit volume of a liquid is called:,Specific weight,Specific gravity,Density,Viscosity,Option C,
Hydraulics,An ideal fluid is:,Frictionless and incompressible,Viscous and compressible,Frictionless and compressible,Viscous and incompressible,Option A,
Hydraulics,The unit of Kinematic Viscosity is:,Poise,Stoke,Pascal,Newton,Option B,
Hydraulics,Atmospheric pressure at sea level is approximately:,10.33 m of water,9.81 m of water,76 cm of water,101.3 m of water,Option A,
Hydraulics,Mercury is used in barometers because it has:,Low density,High vapor pressure,Low vapor pressure,High compressibility,Option C,
Hydraulics,The flow in a pipe is laminar if the Reynolds number is less than:,2000,4000,1000,5000,Option A,
Hydraulics,Bernoulli's theorem deals with the conservation of:,Mass,Momentum,Energy,Force,Option C,
Hydraulics,A pitot tube is used to measure:,Pressure,Discharge,Velocity at a point,Total Energy,Option C,
Hydraulics,The discharge through a V-notch weir varies as:,H^(1/2),H^(3/2),H^(5/2),H^(2/3),Option C,
Hydraulics,Which pump is suitable for high head and low discharge?,Centrifugal pump,Reciprocating pump,Axial flow pump,Mixed flow pump,Option B,